totalTradedVolume,yearLow,lastUpdateTime,open,pChange,totalTradedValue,symbol,priority,meta,yearHigh,chartTodayPath,chart365dPath,dayHigh,lastPrice,ffmc,date30dAgo,perChange30d,chart30dPath,change,perChange365d,identifier,dayLow,previousClose,nearWKL,date365dAgo,series,nearWKH,stockIndClosePrice
8651443,1302.75,,1398,0.62,12026284399.87,HCLTECH,0,"{'symbol': 'HCLTECH', 'companyName': 'HCL Technologies Limited', 'industry': 'Computers - Software & Consulting', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE860A01027', 'slb_isin': 'INE860A01027', 'listingDate': '2000-01-06', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1780.1,https://nsearchives.nseindia.com/today/HCLTECHEQN.svg,https://nsearchives.nseindia.com/365d/HCLTECH-EQ.svg,1404.8,1382,1454071814126.68,27-Jan-2026,-19.66,https://nsearchives.nseindia.com/30d/HCLTECH-EQ.svg,8.5,-15.17,HCLTECHEQN,1382,1373.5,-6.083285357896757,27-Feb-2025,EQ,22.363912139767425,0
22732811,243.5,,448.6,-1.55,10118374176.1,BEL,0,"{'symbol': 'BEL', 'companyName': 'Bharat Electronics Limited', 'industry': 'Aerospace & Defense', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE263A01024', 'slb_isin': 'INE263A01024', 'listingDate': '2000-07-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",461.65,https://nsearchives.nseindia.com/today/BELEQN.svg,https://nsearchives.nseindia.com/365d/BEL-EQ.svg,449,442.1,1579076249729.19,27-Jan-2026,6.29,https://nsearchives.nseindia.com/30d/BEL-EQ.svg,-6.95,75.12,BELEQN,441.7,449.05,-81.56057494866532,27-Feb-2025,EQ,4.234809920935764,0
2357853,2965.3,,4288.9,-0.38,10097246108.67,LT,0,"{'symbol': 'LT', 'companyName': 'Larsen & Toubro Limited', 'industry': 'Civil Construction', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE018A01030', 'slb_isin': 'INE018A01030', 'listingDate': '2004-06-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",4440,https://nsearchives.nseindia.com/today/LTEQN.svg,https://nsearchives.nseindia.com/365d/LT-EQ.svg,4304.7,4270,5000817486666.54,27-Jan-2026,12.73,https://nsearchives.nseindia.com/30d/LT-EQ.svg,-16.5,33.04,LTEQN,4254.4,4286.5,-43.998920851178625,27-Feb-2025,EQ,3.828828828828829,0
8145772,821.13,,1008.95,-1.6,8159864185.56,BAJFINANCE,0,"{'symbol': 'BAJFINANCE', 'companyName': 'Bajaj Finance Limited', 'industry': 'Non Banking Financial Company (NBFC)', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['N1', 'W1'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE296A01032', 'slb_isin': 'INE296A01032', 'listingDate': '2003-04-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1102.5,https://nsearchives.nseindia.com/today/BAJFINANCEEQN.svg,https://nsearchives.nseindia.com/365d/BAJFINANCE-EQ.svg,1014.9,996.75,2639092130242.43,27-Jan-2026,8.97,https://nsearchives.nseindia.com/30d/BAJFINANCE-EQ.svg,-16.2,14.5,BAJFINANCEEQN,993.1,1012.95,-21.38760001461401,27-Feb-2025,EQ,9.591836734693878,0
5840317,992,,1387,-0.82,8096431457.1,AXISBANK,0,"{'symbol': 'AXISBANK', 'companyName': 'Axis Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE238A01034', 'slb_isin': 'INE238A01034', 'listingDate': '1998-11-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1418.3,https://nsearchives.nseindia.com/today/AXISBANKEQN.svg,https://nsearchives.nseindia.com/365d/AXISBANK-EQ.svg,1395.5,1384,3958634368613.29,27-Jan-2026,5.18,https://nsearchives.nseindia.com/30d/AXISBANK-EQ.svg,-11.5,36.13,AXISBANKEQN,1381,1395.5,-39.516129032258064,27-Feb-2025,EQ,2.418388211238804,0
17806739,378.78,,420.5,-2,7425054028.22,KOTAKBANK,0,"{'symbol': 'KOTAKBANK', 'companyName': 'Kotak Mahindra Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE237A01036', 'slb_isin': 'INE237A01036', 'listingDate': '1995-12-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",460.38,https://nsearchives.nseindia.com/today/KOTAKBANKEQN.svg,https://nsearchives.nseindia.com/365d/KOTAKBANK-EQ.svg,422.35,416.05,3051058804605.95,27-Jan-2026,1.8,https://nsearchives.nseindia.com/30d/KOTAKBANK-EQ.svg,-8.5,6.81,KOTAKBANKEQN,414.45,424.55,-9.839484661280965,27-Feb-2025,EQ,9.629002128676307,0
3053227,2136,,2369.3,-1.82,7153619264.19,HINDUNILVR,0,"{'symbol': 'HINDUNILVR', 'companyName': 'Hindustan Unilever Limited', 'industry': 'Diversified FMCG', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE030A01027', 'slb_isin': 'INE030A01027', 'listingDate': '1995-07-06', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",2750,https://nsearchives.nseindia.com/today/HINDUNILVREQN.svg,https://nsearchives.nseindia.com/365d/HINDUNILVR-EQ.svg,2378.9,2340,2070882088616.01,27-Jan-2026,-2.54,https://nsearchives.nseindia.com/30d/HINDUNILVR-EQ.svg,-43.3,4.23,HINDUNILVREQN,2330.6,2383.3,-9.55056179775281,27-Feb-2025,EQ,14.909090909090908,0
478164,11059.45,,15110,-2.5,7131954727.56,MARUTI,0,"{'symbol': 'MARUTI', 'companyName': 'Maruti Suzuki India Limited', 'industry': 'Passenger Cars & Utility Vehicles', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE585B01010', 'slb_isin': 'INE585B01010', 'listingDate': '2003-07-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",17370,https://nsearchives.nseindia.com/today/MARUTIEQN.svg,https://nsearchives.nseindia.com/365d/MARUTI-EQ.svg,15192,14832,1940845728120.73,27-Jan-2026,-2.71,https://nsearchives.nseindia.com/30d/MARUTI-EQ.svg,-381,19.8,MARUTIEQN,14804,15213,-34.111551659440565,27-Feb-2025,EQ,14.61139896373057,0
6055289,933.8,,1108.95,-1.73,6623456766.87,MAXHEALTH,0,"{'symbol': 'MAXHEALTH', 'companyName': 'Max Healthcare Institute Limited', 'industry': 'Hospital', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE027H01010', 'slb_isin': 'INE027H01010', 'listingDate': '2020-08-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",1314.3,https://nsearchives.nseindia.com/today/MAXHEALTHEQN.svg,https://nsearchives.nseindia.com/365d/MAXHEALTH-EQ.svg,1109,1090.75,809153702906.21,27-Jan-2026,11.81,https://nsearchives.nseindia.com/30d/MAXHEALTH-EQ.svg,-19.15,7.35,MAXHEALTHEQN,1087.6,1109.9,-16.807667594774045,27-Feb-2025,EQ,17.00905424941033,0
21400679,247.3,,305.8,-1.24,6418491645.68,POWERGRID,0,"{'symbol': 'POWERGRID', 'companyName': 'Power Grid Corporation of India Limited', 'industry': 'Power - Transmission', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE752E01010', 'slb_isin': 'INE752E01010', 'listingDate': '2007-10-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Feb-2026 16:00:00', 'preOpenTime': '27-Feb-2026 09:07:09', 'QuotePreOpenFlag': False}}",322,https://nsearchives.nseindia.com/today/POWERGRIDEQN.svg,https://nsearchives.nseindia.com/365d/POWERGRID-EQ.svg,305.8,299.5,1352793054286.86,27-Jan-2026,17.75,https://nsearchives.nseindia.com/30d/POWERGRID-EQ.svg,-3.75,16.88,POWERGRIDEQN,297.9,303.25,-21.107966033158103,27-Feb-2025,EQ,6.987577639751553,0
